Histone variant,Previous HGNC Symbol,Interactor gene,Interactor category,PDBID,BioGRID count,String count,IntAct count
canonical H2B,HIST1H2BB,MAP1B,,,1,0,0
canonical H2B,HIST1H2BB,POLE3,"Chromatin remodelers,TF,Replication associated",,1,0,0
canonical H2B,HIST1H2BB,RFC2,,,1,0,0
canonical H2B,HIST1H2BB,CPSF2,,,1,0,0
canonical H2B,HIST1H2BB,QARS,,,1,0,0
canonical H2B,HIST1H2BB,EPRS,,,1,0,0
canonical H2B,HIST1H2BB,PRPF3,,,1,0,0
canonical H2B,HIST1H2BB,PIP5K1A,,,1,0,0
canonical H2B,HIST1H2BB,TUBB4B,,,1,0,0
canonical H2B,HIST1H2BB,PNKP,,,1,0,0
canonical H2B,HIST1H2BB,PRKCSH,,,1,0,0
canonical H2B,HIST1H2BB,UTRN,,,1,0,0
canonical H2B,HIST1H2BB,ATP1A1,,,1,0,0
canonical H2B,HIST1H2BB,IGF2BP1,,,1,0,0
canonical H2B,HIST1H2BB,DKC1,Replication associated,,1,0,0
canonical H2B,HIST1H2BB,TIMM13,,,1,0,0
canonical H2B,HIST1H2BB,SRP72,,,1,0,0
canonical H2B,HIST1H2BB,ZC3H18,,,1,0,0
canonical H2B,"HIST1H2BB,HIST1H2BG",TPX2,,,"1,1","0,0","0,1"
canonical H2B,HIST1H2BB,NUP153,,,1,0,0
canonical H2B,HIST1H2BB,CELF1,,,1,0,0
canonical H2B,"HIST1H2BB,HIST1H2BG",CENPV,,,"1,1","0,0","0,1"
canonical H2B,HIST1H2BB,POLRMT,,,1,0,0
canonical H2B,HIST1H2BB,TAF6,"PTM writers,TF",,1,0,0
canonical H2B,HIST1H2BB,SMARCD1,"Chromatin remodelers,TF",6LTJ,1,0,0
canonical H2B,HIST1H2BB,MICU2,,,1,0,0
canonical H2B,HIST1H2BB,BASP1,,,1,0,0
canonical H2B,HIST1H2BB,ANAPC1,PTM writers,,1,0,0
canonical H2B,HIST1H2BB,VWA9,,,1,0,0
canonical H2B,HIST1H2BB,UBR7,,,1,0,0
canonical H2B,HIST1H2BM,SPEF2,,,1,0,1
canonical H2B,HIST1H2BM,IFT57,TF,,1,0,1
canonical H2B,HIST1H2BO,GDI1,,,1,0,0
canonical H2B,HIST1H2BO,HEXA,,,1,0,0
canonical H2B,HIST1H2BO,LGALS1,,,1,0,0
canonical H2B,HIST1H2BO,PRPF38A,,,1,0,0
canonical H2B,HIST1H2BG,SMCHD1,,,1,0,1
canonical H2B,HIST1H2BG,KIF23,,,1,0,1
canonical H2B,HIST1H2BG,KIFC1,,,1,0,1
canonical H2B,HIST1H2BG,ZNF512B,TF,,1,0,1
canonical H2B,HIST1H2BG,CIZ1,,,1,0,1
canonical H2B,HIST1H2BG,TAGLN2,,,1,0,1
canonical H2B,HIST1H2BG,ZNF512,TF,,1,0,1
canonical H2B,HIST1H2BG,HELLS,"DNA modificators,TF",,1,0,1
canonical H2B,"HIST1H2BG,HIST1H2BH",CDCA2,,,"1,0","0,0","1,1"
canonical H2B,HIST1H2BG,CENPC,TF,6SE6,5,0,5
canonical H2B,HIST1H2BG,CENPC,TF,6SEE,5,0,5
canonical H2B,HIST1H2BG,CENPC,TF,6MUO,5,0,5
canonical H2B,HIST1H2BG,CENPC,TF,6SEF,5,0,5
canonical H2B,HIST1H2BG,CENPC,TF,6MUP,5,0,5
canonical H2B,HIST1H2BG,RCC2,,,1,0,1
canonical H2B,HIST1H2BG,PPM1G,,,1,0,1
canonical H2B,HIST1H2BG,RNF169,,,1,0,1
canonical H2B,HIST1H2BG,RFX5,TF,,1,0,1
canonical H2B,HIST1H2BG,MORC2,,,1,0,1
canonical H2B,HIST1H2BG,LEMD3,TF,,1,0,1
canonical H2B,HIST1H2BG,CBX2,"PTM readers,TF,Transcription associated",,1,0,1
canonical H2B,HIST1H2BG,ANLN,,,1,0,1
canonical H2B,HIST1H2BG,CDCA8,,,1,0,1
canonical H2B,HIST1H2BG,BBX,TF,,1,0,1
canonical H2B,HIST1H2BG,EHMT2,"PTM writers,PTM readers,TF",,1,0,1
canonical H2B,HIST1H2BG,MECP2,TF,,1,0,1
canonical H2B,HIST1H2BG,ATAD2,PTM readers,,1,0,1
canonical H2B,HIST1H2BG,AURKB,PTM writers,,1,0,1
canonical H2B,HIST1H2BG,IPO9,,,1,0,1
canonical H2B,"HIST1H2BG,HIST2H2BE",PHF2,"PTM erasers,PTM readers,TF",,"1,0","0,0","1,1"
canonical H2B,HIST1H2BG,CBX8,"PTM writers,PTM readers,TF,Transcription associated",,1,0,1
canonical H2B,"HIST1H2BG,HIST1H2BH",DLGAP5,,,"1,0","0,0","1,1"
canonical H2B,HIST1H2BG,CDCA5,,,1,0,1
canonical H2B,HIST1H2BG,GPALPP1,,,1,0,1
canonical H2B,HIST1H2BG,TSR1,,,1,0,1
canonical H2B,HIST1H2BG,ZKSCAN4,TF,,1,0,1
canonical H2B,HIST1H2BG,PDAP1,,,1,0,1
canonical H2B,HIST1H2BG,RECQL,"TF,Replication associated,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,WDR76,,,1,0,1
canonical H2B,HIST1H2BG,ARID4B,TF,,1,0,1
canonical H2B,HIST1H2BG,L3MBTL3,PTM readers,,1,0,1
canonical H2B,HIST1H2BG,XRCC1,"TF,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,SUZ12,"PTM writers,TF,Transcription associated",7AT8,1,0,1
canonical H2B,HIST1H2BG,ZNF362,TF,,1,0,1
canonical H2B,HIST1H2BG,DNMT3A,"PTM readers,DNA modificators,TF",6PA7,1,0,1
canonical H2B,HIST1H2BG,NUSAP1,TF,,1,0,1
canonical H2B,HIST1H2BG,CMAS,,,1,0,1
canonical H2B,HIST1H2BG,HDGF,"PTM readers,TF",,1,0,1
canonical H2B,HIST1H2BG,DDX55,,,1,0,1
canonical H2B,HIST1H2BG,ELF2,TF,,1,0,1
canonical H2B,HIST1H2BG,ACOT2,,,1,0,1
canonical H2B,HIST1H2BG,KAT7,"PTM writers,TF,Replication associated",,1,0,1
canonical H2B,HIST1H2BG,TOR1AIP1,,,1,0,1
canonical H2B,HIST1H2BG,ZNF174,TF,,1,0,1
canonical H2B,HIST1H2BG,VRK1,,,1,0,1
canonical H2B,HIST1H2BG,RECQL5,DNA repair,,1,0,1
canonical H2B,HIST1H2BG,BRD8,"PTM writers,PTM readers,Chromatin remodelers,TF",,1,0,1
canonical H2B,HIST1H2BG,CMTR1,,,1,0,1
canonical H2B,HIST1H2BG,MIS18BP1,TF,,1,0,1
canonical H2B,HIST1H2BG,KIF2C,TF,,1,0,1
canonical H2B,HIST1H2BG,ARHGAP11A,,,1,0,1
canonical H2B,HIST1H2BG,MSL3,TF,,1,0,1
canonical H2B,HIST1H2BG,METTL3,,,1,0,1
canonical H2B,HIST1H2BG,PRC1,,,1,0,1
canonical H2B,HIST1H2BG,DDX49,,,1,0,1
canonical H2B,HIST1H2BG,PINX1,,,2,0,2
canonical H2B,HIST1H2BG,ARID4A,TF,,1,0,1
canonical H2B,HIST1H2BG,BCORL1,,,1,0,1
canonical H2B,HIST1H2BG,C17orf49,,,1,0,0
canonical H2B,HIST1H2BG,SDE2,,,1,0,1
canonical H2B,HIST1H2BG,CDYL,"PTM writers,PTM readers",,1,0,1
canonical H2B,HIST1H2BG,CKAP2,,,1,0,1
canonical H2B,HIST1H2BG,PHC2,TF,,1,0,1
canonical H2B,HIST1H2BG,BARD1,"PTM writers,TF,DNA repair",7JZV,1,0,1
canonical H2B,HIST1H2BG,ZMAT2,TF,,1,0,1
canonical H2B,HIST1H2BG,CCDC71L,,,1,0,1
canonical H2B,HIST1H2BG,NFATC2IP,,,1,0,1
canonical H2B,HIST1H2BG,RNASEH2A,Replication associated,,1,0,1
canonical H2B,HIST1H2BG,ZNF226,TF,,1,0,1
canonical H2B,HIST1H2BG,ZNF8,TF,,1,0,1
canonical H2B,HIST1H2BG,BRD1,"PTM writers,PTM readers",,1,0,1
canonical H2B,HIST1H2BG,GTF3C2,TF,,1,0,1
canonical H2B,HIST1H2BG,KIF18A,,,1,0,1
canonical H2B,HIST1H2BG,MCM10,Replication associated,,1,0,1
canonical H2B,"HIST1H2BG,HIST1H2BH",VPS72,"Chromatin remodelers,Histone chaperones,TF",,"1,0","0,0","1,1"
canonical H2B,HIST1H2BG,FLYWCH2,,,1,0,1
canonical H2B,HIST1H2BG,CENPT,TF,,1,0,1
canonical H2B,HIST1H2BG,CHMP4B,,,1,0,1
canonical H2B,HIST1H2BG,ESCO2,"TF,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,KAT8,PTM writers,,1,0,1
canonical H2B,HIST1H2BG,KDM2A,"PTM erasers,TF",,1,0,1
canonical H2B,HIST1H2BG,MPG,"DNA modificators,TF,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,RAD51AP1,"TF,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,SGOL1,,,1,0,0
canonical H2B,HIST1H2BG,TOPBP1,"TF,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,ZC3HC1,,,1,0,1
canonical H2B,HIST1H2BG,CPVL,,,1,0,1
canonical H2B,"HIST1H2BG,HIST2H2BF",GNL3L,,,"1,1","0,0","1,0"
canonical H2B,"HIST1H2BG,HIST1H2BH",HIRIP3,Histone chaperones,,"1,1","0,0","1,1"
canonical H2B,HIST1H2BG,CHD1L,"TF,DNA repair",6ZHX,2,0,2
canonical H2B,HIST1H2BG,CHD1L,"TF,DNA repair",6ZHY,2,0,2
canonical H2B,HIST1H2BG,ELAC2,,,1,0,1
canonical H2B,HIST1H2BG,FRG1,,,1,0,1
canonical H2B,HIST1H2BG,PPIL2,PTM writers,,1,0,1
canonical H2B,HIST1H2BG,KDM1B,"PTM erasers,DNA modificators",6R1U,2,0,2
canonical H2B,HIST1H2BG,KDM1B,"PTM erasers,DNA modificators",6R25,2,0,2
canonical H2B,HIST1H2BG,UNG,DNA repair,,1,0,1
canonical H2B,HIST1H2BG,BIRC5,,,1,0,1
canonical H2B,HIST1H2BG,BRE,"PTM writers,DNA repair",,1,0,0
canonical H2B,HIST1H2BG,FOXC1,TF,,1,0,1
canonical H2B,HIST1H2BG,MORF4L2,"Chromatin remodelers,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,MUS81,"TF,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,RLF,TF,,1,0,1
canonical H2B,HIST1H2BG,MSL1,,,1,0,1
canonical H2B,HIST1H2BG,MEN1,"PTM writers,TF,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,CCDC94,,,1,0,0
canonical H2B,HIST1H2BG,CHD6,"Chromatin remodelers,TF",,1,0,1
canonical H2B,HIST1H2BG,CUL3,PTM writers,,1,0,1
canonical H2B,HIST1H2BG,DGCR14,,,1,0,0
canonical H2B,HIST1H2BG,FAM169A,,,1,0,1
canonical H2B,HIST1H2BG,HOXB9,TF,,1,0,1
canonical H2B,HIST1H2BG,IWS1,,,1,0,1
canonical H2B,HIST1H2BG,LIN9,Replication associated,,1,0,1
canonical H2B,HIST1H2BG,MNAT1,"TF,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,NPM3,Histone chaperones,,1,0,1
canonical H2B,HIST1H2BG,PHC1,TF,,1,0,1
canonical H2B,HIST1H2BG,RNASEH2B,,,1,0,1
canonical H2B,HIST1H2BG,LRIF1,,,1,0,1
canonical H2B,HIST1H2BG,SRBD1,,,1,0,1
canonical H2B,HIST1H2BG,ARL6IP4,,,1,0,1
canonical H2B,HIST1H2BG,C9orf78,,,1,0,1
canonical H2B,HIST1H2BG,CBX4,"PTM readers,TF",,1,0,1
canonical H2B,HIST1H2BG,DDX59,,,1,0,1
canonical H2B,HIST1H2BG,DNAJC17,,,1,0,1
canonical H2B,HIST1H2BG,EIF4H,,,1,0,1
canonical H2B,HIST1H2BG,MPHOSPH8,PTM readers,,1,0,1
canonical H2B,HIST1H2BG,PALB2,,,1,0,1
canonical H2B,HIST1H2BG,PARG,PTM erasers,,1,0,1
canonical H2B,HIST1H2BG,PMS2,"TF,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,PTPN11,TF,,1,0,1
canonical H2B,HIST1H2BG,SDCBP,,,1,0,1
canonical H2B,HIST1H2BG,SLBP,Replication associated,,1,0,1
canonical H2B,HIST1H2BG,ZNF768,"TF,Transcription associated",,1,0,1
canonical H2B,HIST1H2BG,MORC3,PTM readers,,1,0,1
canonical H2B,HIST1H2BG,PCGF1,,,1,0,1
canonical H2B,HIST1H2BG,DNTTIP1,,,1,0,1
canonical H2B,HIST1H2BG,MRGBP,"PTM writers,Chromatin remodelers",,1,0,1
canonical H2B,HIST1H2BG,CCDC25,,,1,0,1
canonical H2B,HIST1H2BG,CHMP5,,,1,0,1
canonical H2B,HIST1H2BG,CUL4A,"PTM writers,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,DYNLL2,,,1,0,1
canonical H2B,HIST1H2BG,KBTBD6,,,1,0,1
canonical H2B,HIST1H2BG,KDM4B,"PTM erasers,TF",,1,0,1
canonical H2B,HIST1H2BG,PAICS,,,1,0,1
canonical H2B,HIST1H2BG,JADE3,"PTM writers,PTM readers",,1,0,1
canonical H2B,HIST1H2BG,PPP1R2,,,1,0,1
canonical H2B,HIST1H2BG,SPAG7,,,1,0,1
canonical H2B,HIST1H2BG,TBCB,,,1,0,1
canonical H2B,HIST1H2BG,ZFP91,TF,,1,0,1
canonical H2B,HIST1H2BG,ZNF629,TF,,1,0,1
canonical H2B,HIST1H2BG,RSF1,"PTM readers,Chromatin remodelers,Histone chaperones,TF",,1,0,1
canonical H2B,HIST1H2BG,CCDC59,,,1,0,1
canonical H2B,HIST1H2BG,DPF2,"PTM readers,Chromatin remodelers",6LTJ,1,0,1
canonical H2B,HIST1H2BG,IGBP1,,,1,0,1
canonical H2B,HIST1H2BG,NUDT5,,,1,0,1
canonical H2B,HIST1H2BG,PRDM15,TF,,1,0,1
canonical H2B,HIST1H2BG,RSRC2,,,1,0,1
canonical H2B,HIST1H2BG,SUGT1,PTM writers,,1,0,1
canonical H2B,HIST1H2BG,TPD52,,,1,0,1
canonical H2B,HIST1H2BG,UBE2O,,,1,0,1
canonical H2B,HIST1H2BG,UPF3B,,,1,0,1
canonical H2B,HIST1H2BG,CCNA2,,,1,0,1
canonical H2B,HIST1H2BG,FOXM1,TF,,1,0,1
canonical H2B,HIST1H2BG,MIER1,TF,,1,0,1
canonical H2B,HIST1H2BG,PLIN3,,,1,0,1
canonical H2B,HIST1H2BG,POLB,"TF,Replication associated,DNA repair",,1,0,1
canonical H2B,HIST1H2BG,ZBTB24,TF,,1,0,1
canonical H2B,"HIST1H2BD,HIST1H2BN",CWF19L1,,,"1,0","0,0","1,1"
canonical H2B,HIST1H2BD,SLITRK6,,,1,0,1
canonical H2B,HIST1H2BD,DCTN2,,,1,0,1
canonical H2B,HIST1H2BD,CCBE1,,,1,0,1
canonical H2B,HIST1H2BD,TRPM8,,,1,0,1
canonical H2B,HIST1H2BD,FAM35A,,,1,0,0
canonical H2B,HIST1H2BD,ASPM,,,1,0,1
canonical H2B,HIST1H2BD,GALNT16,,,1,0,1
canonical H2B,"HIST1H2BD,HIST1H2BH",CCDC63,,,"1,0","0,0","1,1"
canonical H2B,"HIST1H2BD,HIST1H2BL",GLTSCR2,,,"1,1","0,0","0,0"
canonical H2B,HIST1H2BD,MRPS18B,,,1,0,1
canonical H2B,"HIST1H2BD,HIST2H2BE,HIST1H2BH",MVP,,,"1,0,0","0,0,0","1,1,1"
canonical H2B,HIST2H2BF,PLA2G4F,,,1,0,0
canonical H2B,HIST2H2BF,ZNF653,TF,,1,0,0
canonical H2B,HIST2H2BF,GID8,,,1,0,0
canonical H2B,"HIST2H2BF,HIST1H2BH",DLGAP4,,,"1,1","0,0","0,1"
canonical H2B,HIST2H2BF,GPR179,,,1,0,0
canonical H2B,"HIST2H2BF,HIST1H2BH",USP45,,,"1,0","0,0","0,1"
canonical H2B,HIST2H2BF,OVCH1,,,1,0,0
canonical H2B,HIST2H2BF,NLRP10,,,1,0,0
canonical H2B,HIST2H2BF,CIR1,TF,,1,0,0
canonical H2B,"HIST2H2BF,HIST1H2BH",DNAH10,,,"1,0","0,0","0,1"
canonical H2B,HIST2H2BF,FAM71E2,,,1,0,0
canonical H2B,HIST2H2BF,PHF10,"PTM readers,Chromatin remodelers,TF",,1,0,0
canonical H2B,HIST2H2BF,ISCA1,,,1,0,0
canonical H2B,HIST2H2BF,FUT8,,,1,0,0
canonical H2B,"HIST2H2BF,HIST1H2BH",PDZD7,,,"1,1","0,0","0,1"
canonical H2B,HIST2H2BF,SH2D4A,,,1,0,0
canonical H2B,HIST2H2BF,KCNQ5,,,1,0,0
canonical H2B,"HIST2H2BF,HIST1H2BH",FAIM,,,"1,1","0,0","0,1"
canonical H2B,HIST2H2BF,SH3BP4,,,1,0,0
canonical H2B,HIST2H2BF,VPS54,,,1,0,0
canonical H2B,HIST2H2BF,FRMD4A,,,1,0,0
canonical H2B,"HIST2H2BF,HIST1H2BH",GPATCH8,,,"1,1","0,0","0,1"
canonical H2B,HIST2H2BF,IKZF2,TF,,1,0,0
canonical H2B,HIST2H2BF,KIAA0226,,,1,0,0
canonical H2B,HIST2H2BF,CDH19,,,1,0,0
canonical H2B,HIST2H2BF,IL1RAP,,,1,0,0
canonical H2B,HIST1H2BH,CCDC124,,,1,0,1
canonical H2B,HIST1H2BH,KIAA1731NL,,,1,0,0
canonical H2B,HIST1H2BH,NXF5,,,1,0,1
canonical H2B,HIST1H2BH,MLXIP,TF,,1,0,1
canonical H2B,HIST1H2BH,EMC7,,,1,0,1
canonical H2B,HIST1H2BH,MBD5,TF,,1,0,1
canonical H2B,HIST1H2BH,DNAH1,,,1,0,1
canonical H2B,HIST1H2BH,SLC23A2,,,1,0,1
canonical H2B,HIST1H2BH,BAZ2B,"PTM readers,TF",,1,0,1
canonical H2B,HIST1H2BH,NOL7,,,1,0,1
canonical H2B,HIST1H2BH,SLC35A3,,,1,0,1
canonical H2B,HIST1H2BH,MRPL11,,,1,0,1
canonical H2B,HIST1H2BH,USH1C,,,1,0,1
canonical H2B,HIST1H2BH,SENP5,,,1,0,1
canonical H2B,HIST1H2BH,MED30,"TF,Chromatin architecture",,1,0,1
canonical H2B,HIST1H2BH,MAML3,TF,,1,0,1
canonical H2B,HIST1H2BH,TEP1,,,1,0,1
canonical H2B,HIST1H2BH,REEP2,,,1,0,1
canonical H2B,HIST1H2BH,POLDIP3,,,1,0,1
canonical H2B,HIST1H2BH,FGFBP2,,,1,0,1
canonical H2B,HIST1H2BH,CEP41,,,1,0,1
canonical H2B,HIST1H2BH,PHACTR1,,,1,0,0
canonical H2B,HIST1H2BH,MMP28,,,1,0,1
canonical H2B,HIST1H2BH,ESF1,,,1,0,1
canonical H2B,HIST1H2BH,TDRD3,,,1,0,1
canonical H2B,HIST1H2BH,UTP3,,,1,0,1
canonical H2B,HIST1H2BH,STARD7,,,1,0,1
canonical H2B,HIST1H2BH,DUOX1,,,1,0,1
canonical H2B,HIST1H2BH,ECHDC1,,,1,0,1
canonical H2B,HIST1H2BH,MOCS1,,,1,0,1
canonical H2B,HIST1H2BH,UBP1,TF,,1,0,1
canonical H2B,HIST1H2BH,CFDP1,,,1,0,1
canonical H2B,HIST1H2BH,AFF4,TF,,1,0,1
canonical H2B,HIST1H2BH,RAPGEFL1,,,1,0,1
canonical H2B,HIST1H2BH,MYO6,,,1,0,1
canonical H2B,HIST1H2BH,AXIN2,,,1,0,1
canonical H2B,HIST1H2BH,SETBP1,TF,,1,0,1
canonical H2B,HIST1H2BH,R3HDM4,,,1,0,1
canonical H2B,HIST1H2BH,MCRS1,"PTM writers,Chromatin remodelers",,1,0,1
canonical H2B,"HIST1H2BH,HIST1H2BL",ZNF469,TF,,"1,0","0,0","1,1"
canonical H2B,HIST1H2BH,COX4I2,,,1,0,1
canonical H2B,HIST1H2BH,CXorf58,,,1,0,1
canonical H2B,HIST1H2BH,JSRP1,,,1,0,1
canonical H2B,HIST1H2BH,CFAP44,,,1,0,1
canonical H2B,HIST1H2BH,ASH1L,"PTM writers,PTM readers,TF",,1,0,1
canonical H2B,HIST1H2BH,MYH2,,,1,0,1
canonical H2B,HIST1H2BH,HPSE,,,1,0,1
canonical H2B,HIST1H2BH,CDC42BPB,,,1,0,1
canonical H2B,HIST1H2BH,TAAR3,,,1,0,0
canonical H2B,HIST1H2BB,NFKB2,TF,,0,0,1
canonical H2B,HIST1H2BB,TNFRSF1A,,,0,0,1
canonical H2B,HIST1H2BG,MAGEB2,,,0,0,1
canonical H2B,HIST1H2BG,ELF3,TF,,0,0,1
canonical H2B,HIST1H2BG,PSMD10,PTM writers,,0,0,1
canonical H2B,HIST1H2BG,LYAR,,,0,0,1
canonical H2B,HIST1H2BG,NME2,TF,,0,0,1
canonical H2B,HIST1H2BG,IKBKE,,,0,0,1
canonical H2B,HIST1H2BG,VHL,"PTM writers,TF",,0,0,1
canonical H2B,HIST1H2BG,GH1,TF,,0,0,1
canonical H2B,HIST1H2BG,ATG12,,,0,0,1
canonical H2B,HIST1H2BG,DLG3,,,0,0,1
canonical H2B,HIST1H2BG,BCL10,TF,,0,0,1
canonical H2B,HIST1H2BG,DDX56,,,0,0,1
canonical H2B,HIST1H2BG,DNAJC2,"TF,Replication associated",,0,0,1
canonical H2B,HIST1H2BG,BAP18,,,0,0,1
canonical H2B,HIST1H2BG,SGO1,,,0,0,1
canonical H2B,HIST1H2BG,SGO2,,,0,0,1
canonical H2B,HIST1H2BG,NSD3,"PTM writers,PTM readers",7CRQ,0,0,3
canonical H2B,HIST1H2BG,NSD3,"PTM writers,PTM readers",7CRR,0,0,3
canonical H2B,HIST1H2BG,NSD3,"PTM writers,PTM readers",7CRP,0,0,3
canonical H2B,"HIST1H2BG,HIST2H2BE",SGF29,PTM readers,,"0,0","0,0","1,1"
canonical H2B,HIST1H2BG,BABAM2,,,0,0,1
canonical H2B,HIST1H2BG,ESS2,,,0,0,1
canonical H2B,HIST1H2BG,YJU2,,,0,0,1
canonical H2B,HIST2H2BE,PARP3,DNA repair,,0,0,1
canonical H2B,HIST2H2BE,MAP4K4,,,0,0,1
canonical H2B,HIST2H2BE,psi-mi:ubiq_human(display_short)|psi-mi:EBI-4399559(display_long),,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH,HIST1H2BD",HNRNPK,TF,,"0,0,0","0,0,0","1,1,1"
canonical H2B,HIST2H2BE,OSBPL8,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH",EDN1,,,"0,0","0,0","1,1"
canonical H2B,HIST2H2BE,CRYBG1,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH",HMGN2,"TF,HMG",,"0,0","0,0","1,1"
canonical H2B,"HIST2H2BE,HIST1H2BD",IGSF3,,,"0,0","0,0","1,1"
canonical H2B,"HIST2H2BE,HIST1H2BH",NOP2,,,"0,0","0,0","1,1"
canonical H2B,HIST2H2BE,EPRS1,,,0,0,1
canonical H2B,HIST2H2BE,AHSA1,,,0,0,1
canonical H2B,HIST2H2BE,TOGARAM1,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH,HIST1H2BN,HIST1H2BL,HIST1H2BD,HIST1H2BM",H3-4,,,"0,0,0,0,0,0","0,0,0,0,0,0","1,1,1,1,1,1"
canonical H2B,HIST2H2BE,HIST2H2BF,,,0,0,1
canonical H2B,HIST2H2BE,ERVK13-1,,,0,0,1
canonical H2B,HIST2H2BE,ROCK2,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH",HSPA7,,,"0,0","0,0","1,1"
canonical H2B,HIST2H2BE,GOLGA6L2,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BD",UFL1,,,"0,0","0,0","1,1"
canonical H2B,HIST2H2BE,ARID5A,TF,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH",CASQ2,,,"0,0","0,0","1,1"
canonical H2B,HIST2H2BE,C4BPB,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH",PRRC2A,,,"0,0","0,0","1,1"
canonical H2B,HIST2H2BE,GTPBP10,,,0,0,1
canonical H2B,HIST2H2BE,CLCN3,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH",ATP2B3,,,"0,0","0,0","1,1"
canonical H2B,HIST2H2BE,DNASE1L3,TF,,0,0,1
canonical H2B,HIST2H2BE,DNAJC13,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH,HIST1H2BD",USF3,,,"0,0,0","0,0,0","1,1,1"
canonical H2B,HIST2H2BE,DHX15,,,0,0,1
canonical H2B,HIST2H2BE,C2CD2L,,,0,0,1
canonical H2B,HIST2H2BE,ACTN2,TF,,0,0,1
canonical H2B,HIST2H2BE,MAGEA8,,,0,0,1
canonical H2B,HIST2H2BE,MAP3K9,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BN,HIST1H2BL",CROCCP2,,,"0,0,0","0,0,0","1,1,1"
canonical H2B,"HIST2H2BE,HIST1H2BH,HIST1H2BD",SVIL,,,"0,0,0","0,0,0","1,1,1"
canonical H2B,HIST2H2BE,HNRNPU,TF,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH",DSG1,,,"0,0","0,0","1,1"
canonical H2B,HIST2H2BE,NOS1AP,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH",SEPTIN1,,,"0,0","0,0","1,1"
canonical H2B,HIST2H2BE,MRTFB,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH,HIST1H2BL,HIST1H2BD,HIST1H2BM",H3C15,,,"0,0,0,0,0","0,0,0,0,0","1,1,1,1,1"
canonical H2B,HIST2H2BE,RGS6,,,0,0,1
canonical H2B,HIST2H2BE,SASH3,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BD",PTPRM,,,"0,0","0,0","1,1"
canonical H2B,HIST2H2BE,FYB1,,,0,0,1
canonical H2B,HIST2H2BE,SLU7,,,0,0,1
canonical H2B,HIST2H2BE,MELK,,,0,0,1
canonical H2B,HIST2H2BE,FSCN1,,,0,0,1
canonical H2B,HIST2H2BE,NEB,,,0,0,1
canonical H2B,HIST2H2BE,FER,,,0,0,1
canonical H2B,"HIST2H2BE,HIST1H2BH",TBC1D4,,,"0,0","0,0","1,1"
canonical H2B,HIST2H2BE,RPL19,,,0,0,1
canonical H2B,HIST2H2BE,TPM3,,,0,0,1
canonical H2B,HIST2H2BE,CACNA1E,,,0,0,1
canonical H2B,HIST2H2BE,HEATR9,,,0,0,1
canonical H2B,HIST1H2BH,ZDHHC17,,,0,0,2
canonical H2B,HIST1H2BH,TP53BP2,,,0,0,1
canonical H2B,HIST1H2BH,KLRC4,,,0,0,1
canonical H2B,HIST1H2BH,CACNA2D1,,,0,0,1
canonical H2B,HIST1H2BH,GALR1,,,0,0,1
canonical H2B,HIST1H2BH,PPP1R13B,,,0,0,1
canonical H2B,HIST1H2BH,CCDC71,,,0,0,1
canonical H2B,HIST1H2BH,TOP2A,"PTM readers,TF,Replication associated,DNA repair",,0,0,1
canonical H2B,HIST1H2BH,RPL23A,,,0,0,1
canonical H2B,HIST1H2BH,CCDC172,,,0,0,1
canonical H2B,HIST1H2BH,XIRP2,,,0,0,1
canonical H2B,HIST1H2BH,RBM5,TF,,0,0,1
canonical H2B,HIST1H2BH,LAMA1,,,0,0,1
canonical H2B,HIST1H2BH,EXD1,,,0,0,1
canonical H2B,HIST1H2BH,UHRF1BP1,,,0,0,1
canonical H2B,HIST1H2BH,HPSE2,,,0,0,1
canonical H2B,HIST1H2BH,HMMR,,,0,0,1
canonical H2B,HIST1H2BH,MAFA,TF,,0,0,1
